單字,中文,例句,中例,同義,反義
ambiguous,adj.含糊的，不明確的；引起歧義的；有兩種或多種意思的；模稜兩可； ,The professor's answer was ambiguous which made the students present feel puzzled.,ambiguous:教授的回答模稜兩可讓在場的學生很是困惑.,double;indeterminate;forked;,unequivocal;comprehensible;distinct;
amiable,adj.和藹可親的；溫和的； ,Thank a gentleman to need a person very amiable and courteous.,謝先生待人很和氣謙恭。,good-humoured;good-humored;good-natured;,ill-natured;ungracious;unsociable;
analytical,adj.分析的，分析法的；善於分析的； ,On Line Analytical Mining integrates On Line Analytical Processing and Data Mining technology.,綜合應用數據倉庫與聯機分析處理技術開發了外資管理決策支持系統。,analytic;,synthetic;analytic;
animate,vt.使有生氣；驅動；使栩栩如生地動作；賦予…以生命； adj.有生命的；活的；有生氣的；生氣勃勃的； ,It asks animators to describe before they animate what it is they want to animate!,計算機動畫製作要求動畫師們在畫出他們想畫的東西之前先對這東西進行描述！,invigorate;shake;stimulate;,discourage;bore;curse;
anonymous,adj.無名的；假名的；匿名的；沒有特色的； ,All the FTP servers require you to log in using the username anonymous.,ftp伺服器均要求你以用戶名anonymous註冊。,unknown;anon.;unidentified;,onymous;glorious;acknowledged;
antibiotic,n.抗生素；抗菌素； adj.抗生的；抗菌的；抗菌作用的；抗生素的； ,"Antibiotic applied in the control group , while TQBYP, Antibiotic and incretion applied to the treatment groups.",治療組用西藥抗生素+激素治療+通竅鼻炎片治療.,vancomycin;Aureomycin;chloramphenicol;,
applicable,adj.適當的；可應用的； ,"Applicable scope: Except aforesaid scope, also applicable for large volume concrete project.",適用範圍：除適用於上述範圍外，還可適用於大體積混凝土工程。,relevant;,irrelevant;inapplicable;
approximate,adj.約莫的，大概的；極相似的；[植]相近但不連接的； vi.接近於；近似於； vt.靠近；使接近；使結合； ,This paper describes a simpler form of restarted LGMRES augmented with several previous approximate errors.,本文給出了重新啟動的LGMRES方法的一種代價更小的實現方式。,border on;resemble;approach;,take;starve;breastfeed;
arctic,adj.北極的，寒帶的；極寒的；（態度）冰冷的； n.北極圈，北極地帶；（常複數）<美>禦寒防水套鞋； ,The arctic has extremely low temperature and is covered with snow through the year.,arctic:北極氣溫低下，終年被白雪覆蓋著。,North Frigid Zone;Arctic Zone;,noncrucial;uncharged;tropical;
arrogant,adj.傲慢的，自大的；帶有傲慢，出自傲慢；驕慢；驕； ,Annie: He is such an arrogant man. I think he still has arrogant abilities.,"安妮: 他這麼狂, 我想他還是有狂的本事.",chesty;proud;self-important;,humble;frail;modest;
articulate,adj.發音清晰的；善於表達的；有關節的； vt.清晰地發（音）；言語表達；（用關節）連接； vi.清楚地和清晰地講；發音；[解剖學] 連接； ,One quality that the radiobroadcaster must be had is that they should be articulate.,articulate:播音員需要具備的素質之一是發音清晰.,evince;show;dogmatise;,damaged;unfit;unhealthy;
attendant,n.服務人員，侍者；隨從，隨員；伴隨物； adj.伴隨的，隨之而產生的；出席的；護理的； ,Shanghai Yangtzi New world Hotel Public Area attendant. Floor attendant.,"上海揚子江大酒店公共區服務員, 樓層服務員.",litter-bearer;linkman;steward;,inedible;underbid;outbid;
authentic,adj.真的，真正的；可信的，可靠的；有根據的；[法]認證了的； ,The information is authentic for it comes from an authoritative magazine.,authentic:這些消息是可信的因為它們來自一本權威的雜誌。,trustworthy;reliable;trusty;,untrustworthy;atypical;contestable;
awesome,adj.令人敬畏的；使人畏懼的；可怕的；極好的； ,A friend of mine has a rule in her house-word awesome reserved only for God.,我有一個朋友設了一條家規，就是在她家中，[Awesome]這個詞只能用來描述跟上帝有關的事。,amazing;awing;impressive;,unimpressive;unsurprising;unmoving;
biological,adj.生物學的；生物的；與生物學相關的；有血親關係的； n.[葯]生物製品，生物製劑； ,"To explain biological phenomena and biological evolution, the only gene with a selfish is not enough.",對於解釋生物現象和生物進化來說，僅僅用自私的基因是遠遠不夠的。,biologic;,unintelligent;processed;
bizarre,adj.離奇的；奇特的（指態度，容貌，款式等）；奇怪的；奇幻； ,"Uhm, yeah, and it was bizarre. Bizarre process. I've never had an audition like it, really.",嗯，是的，感覺非常古怪。古怪的過程。我從未有過這樣的試演，真的。,off-the-wall;outlandish;outre;,conventional;tough;familiar;
bleak,adj.暗淡的，昏暗的；沒有指望的；寒冷的，刺骨的；無遮蔽的，荒涼的； n.歐?魚，銀鯉； ,We spent a bleak spring again Actuallystop bleak?,我們又度過了一個黯淡的春天.,black;dim;hopeless;,hopeful;ample;adorned;
blunt,adj.鈍的，不鋒利的；遲鈍的；直率的；呆板的； vt.使遲鈍；使鈍； n.鈍的東西；小雪茄煙； ,We would blunt the offensive and conclude the war on honorable terms.,"我們將挫敗這個攻勢,而按體面的條件結束戰爭.",weaken;,strengthen;disappear;
brisk,adj.快的；輕快的；爽快而清新的；興隆的； vi.活躍起來；變得輕快； vt.使…活潑；使…輕快； ,Market is not brisk.,市場不景氣（不活躍）。,spanking;rattling;lively;,lethargic;dull;unanimated;
brute,n.畜生，獸；殘暴的人；獸性； adj.殘忍的；畜生的，動物的；無理性的； ,A brute is one whom cruelty and dulled senses sway.,"稱人為brute,則指其人秉性凶暴的人.",savage;attacker;aggressor;,home game;away game;cowardly;
bulky,adj.龐大的；笨重的；體積大的； ,"Before we use large bombers are hydraulic or mechanical manipulation technique, bulky heavy, use agile, time - consuming.","在我們使用大型轟炸機是液壓或機械操作技術 、 笨重, 使用靈活 、 耗時.",large;big;,little;small;nonpregnant;
captive,adj.被俘的；被監禁的；被關押的；無法逃離的； n.戰俘，俘虜；被（愛情等）迷住的人；自保公司； ,Ransom Captive: Release a skilled or wealthy captive for their current ransom amount.,"俘虜的贖金: 釋放一個有技術的或者富有的俘虜,當然是在收到等於他們目前身價的贖金之後.",fauna;animate being;creature;,felicitous;uncertainty;pro;
charitable,adj.仁慈的，慈善的；寬恕的，寬厚的；慷慨的； ,He was a charitable man who used his wealth for the poor and sick man.,"他是個善良的人,用他的財富去幫助窮人和病人.",generous;beneficent;philanthropic;,uncharitable;stingy;uncommunicative;
chronic,adj.慢性的；長期的；習慣性的；痼； ,"According to reports, Asthma is a chronic inflammation in the airway characterized by chronic respiratory diseases.",據介紹，哮喘是一種以氣道慢性炎症為特徵的慢性呼吸道疾病。,degenerative;,acute;uncommon;
clinical,adj.臨床的；診所的；冷靜的；簡陋的； ,"Xu Xiu-Lian, deputy director of clinical laboratory examiner. Good clinical immunology, clinical blood and clinical biochemistry.",許連秀檢驗科副主任檢驗師。擅長臨床免疫學、臨床血液、臨床生化檢驗。,objective;nonsubjective;,subjective;unreal;abstract;
coherent,adj.一致的；連貫的；條理分明的；清楚明白的； ,"The grain boundary can be almost perfect and coherent, semi-coherent or large angle grain boundary.",晶粒邊界比較完整，存在共格、半共格或大角度晶界，但沒有觀察到晶界相。,logical;consistent;ordered;,incoherent;irrational;unreasonable;
collective,adj.集體的；共同的；集合的；集體主義的； n.[統]集體；[語]集合名詞；集團； ,There are hard spirit of the collective consciousness with strong collective sense of honor.,有吃苦耐勞的精神，有較強的集體意識集體榮譽感。,joint;corporate;,separate;clergy;noncombinative;
colloquial,adj.口語的，會話的； ,"Lyrics of popular, colloquial, easy to learn to sing.","唱詞通俗 、 口語化, 易學易唱.",informal;conversational;,formal;rhetorical;informality;
communicative,adj.愛說話的，好社交的； ,"Communicative approach is an innovation in English teaching, aiming at improving students' communicative competence.",交際法是英語教學上的一次革新，旨在提高學生在英語聽說中的交際能力。,tattling;Spanish-speaking;Japanese-speaking;,taciturn;inarticulate;uncommunicative;
comparable,adj.可比較的；比得上的； ,This method is implemented to ensure that people doing comparable comparable rates of pay.,實施這個制度是要確保實現同工同酬。,equal;comparable with;comparable to;,oblique;unequal;perpendicular;
comparative,adj.比較（上）的；按比較估計的；相當的，還可以的； n.[語]（形容詞或副詞的）比較級形式；可匹敵者，可比擬物； ,We should accept comparative advertising and change the status of unreasonable limitation on comparative advertising.,"我國應儘快改變不合理限制對比廣告的狀況,採取鼓勵對比廣告的積極態度.",relational;relative;,absolute;substantive;descendant;
compatible,adj.兼容的，相容的；和諧的，協調的；[生物學]親和的；可以並存的，能共處的； ,"So, in order to get up and running , you'll need a compatible device a compatible ROM.","所以, 為了繼續「前進 」, 你們需要一個帶有可兼容ROM的 可兼容設備(翻得好彆扭,意思是要先刷一個鏡像,下面會說到)",congruous;harmonious;congenial;,inharmonious;incompatible;mismatched;
competent,adj.有能力的，能勝任的；能幹的，稱職的；足夠的，充足的；有決定權的； ,Do I have to complete the Competent Communication and Competent Leadership manuals in any particular order?,合格溝通手冊和合格領導手冊有沒有先後順序之分？,skilled;effective;workmanlike;,inefficient;incompetent;unqualified;
component,n.成分；零件；[數]要素；組分； adj.組成的；合成的；構成的；成分的； ,TGCM consists of Algorithm Executing Component (AEC) and Intelligent Learning Component (ILC).,TGCM包含兩個部件——演算法執行部件AEC(Algorithm Executing Component)和智能學習部件ILC(Intelligent Learning Component)。,division;point;constituent;,bad luck;misfortune;success;
comprehensive,adj.廣泛的；綜合的；有理解力的，悟性好的；[保險業]總體擔保的； n.[常用複數]專業綜合考試；綜合學校；綜合性中學； ,"Matching comprehensive three - part, this paper presents a comprehensive Semantic Web matching algorithm.","綜合三部分的匹配, 即為本文提出的一種綜合語義Web服務匹配演算法.",super;citywide;ecumenical;,specific;incomplete;noncomprehensive;
concise,adj.簡明的，簡潔的；；簡約；精煉； ,"The English idioms are concise and comprehensive, pregnant with meaning, visual and vivid.",習語言簡意賅，寓意深刻，形象生動，是語言的精華也是重要的修辭手段。,prolixity;apothegmatic;epigrammatic;,voluble;prolix;terseness;
confidential,adj.秘密的；機密的；表示信任的；親密的； ,Keep confidential conversations confidential: Knowing something others areto know is a big responsibility.,保守秘密：知道其他人不知道的事情，是很大的責任。,private;,public;unconcealed;
conscientious,adj.認真負責的；本著良心的；謹慎的；正大光明； ,The doctor who treated her for a broken leg is very conscientious in treating her patients.,治療她斷腿的那位醫生看病非常認真.,careful;painstaking;scrupulous;,careless;carelessness;imprudent;
constituent,n.選民；成分，構成部分；委託人； adj.構成的，組成的；選舉的；有選舉權的； ,"A constituent (element or compound) of an alloy, which may be used to specify its composition.",合金的任一組成（可以是元素或化合物），可以被用於區分其構成成分。,making;portion;auto part;,software;bad luck;misfortune;
controversial,adj.有爭議的，引起爭議的，被爭論的；好爭論的； ,What victory means is not essentially controversial meaning of the common good is essentially controversial.,何謂勝利，不存在實質性爭議，何謂共善卻是有實質性爭議的。,contentious;disputable;polemic;,uncontroversial;unargumentative;incontestable;
coordinate,vt.使協調，使調和；整合；使（身體各部份）動作協調；（衣服、布料等）搭配； vi.協調；協同；成為同等；被歸入同一類別； adj.同等的；[語法學]並列的；同等級的；帶有同等性質的； ,"For more information on coordinate systems, see Map projections and coordinate systems.",更多關於坐標系統的信息，參見「地圖投影和坐標系統」。,set up;organise;mesh;,disarrange;disorganize;level;
cordial,adj.熱誠的；誠懇的；興奮的； n.補品；興奮劑；甘露酒； ,"Here, we express cordial greeting and cordial gratitude to you.",在這裡，我們向您表示衷心的問候和誠摯的謝意。,amiable;affable;friendly;,unfriendly;nonalcoholic;ill-natured;
corporate,adj.法人的，團體的，社團的；公司的，總體國家的；〈古〉團結的；共同的，全體的； ,Chapter two is doubts about the traditional corporate law principles in controlling corporate and subsidiary corporate.,第二章是傳統公司法理論在控制公司與從屬公司中受到的質疑。,bodied;material;corporeal;,incorporeal;unbodied;natural object;
cosmetic,n.化妝品；美髮油，髮蠟；裝飾品；美容術； adj.化妝用的；美容的；裝點門面的；表面的； ,"Prefer studies cosmetic chemical, cosmetic formulation, or food additives.",專研于化妝類化工品、化妝品配方或食品添加劑。,decorative;nonfunctional;ornamental;,functional;functioning;unaesthetic;
cosmopolitan,adj.世界性的，全世界的；四海為家的；全球的； n.世界主義者；四海為家者； ,"Soon, IDG successfully introduced Cosmopolitan of the US into the Chinese market.","很快, IDG成功地將《大都會》(cosmopolitan)的引入中國的市場.",traveled;travelled;,provincial;specific;discriminate;
credible,adj.可信的，可靠的；（因看似可能成功而）可接受的； ,"But in order to maintain a credible threat of intervention, we have to maintain a credible alliance.",然而，為了保持確實有效的干預威脅，我們必須維持可靠的聯盟。,credibility;thinkable;believable;,incredible;incredibility;unthinkable;
crooked,adj.彎曲的；不正當的；歪扭的；用不正當手段得來的； v.彎成鉤形(crook的過去式和過去分詞)； ,"He bought a crooked cat, which caught a crooked mouse.","買一隻歪歪扭扭的貓, 貓兒抓歪歪扭扭的老鼠.",refractive;gnarled;zigzag;,uncoiled;direct;straight;
crucial,adj.關鍵性的，極其顯要的；決定性的；十字形的； ,Turning agents into double agents instead of hanging them has two crucial advantages.,不把間諜處死，而是把他們轉變為雙重間諜可以得到兩個非常大的好處。,polar;pivotal;life-or-death;,noncritical;indecisive;inessential;
crude,adj.粗糙的，粗雜的；粗魯的；天然的，未加工的；簡陋的； n.原[生]材料，天然物質；原油； ,"Guaranteed Analysis (dry matter basis): Crude Protein 45%, Crude Fat 32%, Crude Fiber 5%.",保證書分析（乾燥品）天然蛋白質45%，天然脂肪32%，天然纖維5%。,rough;unskilled;,skilled;net;specific;
cumulative,adj.累積的；漸增的；追加的；（判刑等）加重的； ,Markov chain models of cumulative damage have been provided a comprehensive descriptions of cumulative damage processes.,"業已證明,累積損傷的馬爾可夫鏈模型對累積損傷過程提供了綜合的描述.",accumulative;additive;,subtractive;unacquisitive;nonlinear;
customary,adj.習慣的；通常的；照慣例的； n.習慣法；風俗志； ,There is another customary way.,還有另一個慣用的方法.,wonted;usual;accustomed;,unusual;uncommon;unusualness;
deadly,adj.極端的，非常的；致命的，致死的；非常有效的；如死一般的； adv.極其，非常；死了一樣地； ,"Howeer, current deadly strain of H 5 N 1 is unusual in being deadly to so many species.","但是, 目前的H5N1型菌株卻罕見地對如此多的物種均有致命性.",mortal;fatal;deathly;,nonfatal;ecdemic;harmless;
decent,adj.正派的；得體的；（服裝等）相稱的，合宜的；相當好的； ,"But the pay is decent- -Not great, but decent, and steady.",但是報酬不錯，不算特別優厚，可是相當不錯，而且穩定。,nice;respectable;,unrespectable;unreal;unflattering;
decisive,adj.決定性的；堅定的；果斷的，決斷的； ,This was the decisive moment of a decisive battle!,這是決戰的最後五分鐘了！,conclusive;deciding;determinant;,inconclusive;indecisive;noncrucial;
deliberate,adj.故意的；蓄意的；深思熟慮的；慎重的； vt.權衡； vi.熟慮；商討； ,"When a deliberate choice to restrict, the harmful consequences are deliberate destruction.",假如可以故意選擇限製程序的使用，其惡果就是任意地破壞。,measured;intended;calculated;,unintended;disrespect;respect;
delinquent,adj.不盡責的，怠工的；有過失的；拖欠債務的； n.流氓；少年罪犯；失職者； ,Other any outstanding debts and your record of delinquent payment.,是否有有待償還的債務或者拖欠付款的記錄呢?,remiss;neglectful;derelict;,diligent;inhabited;attentive;
dental,adj.牙齒的；牙科的；（輔音）齒音的； n.齒音； ,"Alpha Dental Centre , Your Preferred Dental Care Provider!",奧華齒科 —— 您首選的牙科保健供應夥伴.,alveolar consonant;consonant;alveolar;,vowel;inconsistent;inharmonious;
designate,vt.指明，指出；指派；表明，意味著；把…定名為； adj.指定而尚未上任的；選出而尚未上任的； ,"You may designate any person, firm, corporation or legal entity as principal or contingent beneficiary.",你可以指定任何人、公司、企業或者合法的實體作為主要的或臨時的受益人。,denominate;denote;number;,import;export;upload;
destined,adj.命中註定的，預定的；去往…的； v.註定(destine的過去式和過去分詞)； ,"Some people are destined to be waiting for others, some people are destined to be reciprocity.",有些人註定是等待別人的，有些人是註定被人等的。,bound;orientated;oriented;,unoriented;untreated;unconstipated;
diplomatic,adj.外交上的；外交人員的；有手腕的；策略的； ,Diplomatic documents are a vehicle for diplomatic work.,外交文書是外交工作的載體。,bland;diplomatical;kid-glove;,undiplomatic;impolitic;tasty;
disastrous,adj.災難性的；損失慘重的；極壞的；悲慘的； ,The battle was a disastrous end to a disastrous campaign.,這次戰鬥以災難性方式結束了一場災難性的戰役.,black;unfortunate;fatal;,fortunate;chromatic color;white;
disciplinary,adj.紀律的；訓練的；懲罰的； ,Dave : Will there be any disciplinary action against any of the players?,戴福: 爭吵的球員會不會受到紀律處分?,nonindulgent;corrective;strict;,indulgent;gluttonous;worsening;
discreet,adj.謹慎的，慎重的；考慮周到的；小心的；持重； ,"Right! In the work, you have to be discreet keep out of trouble.",沒錯，要從事這份工作，你本身就必須從頭到尾，秉持著小心謹慎、潔身自愛的態度。,discerning;tactful;,tactless;foolish;careless;
disgraceful,adj.可恥的，丟臉的；不光彩的，不名譽的；丑；臭； ,The camp was left in a disgraceful condition by us.,我們讓營地處在一種很不體面的狀況中。,black;shameful;dishonourable;,honorable;chromatic color;white;
dispensable,adj.非必需的，可省去的；不必要； ,"Send an army of dispensable, limited agents coordinated on a task, and set them loose.",他提議用一次性火箭發射鞋盒大小的太陽能推土機艦隊去入侵月球.,dispensability;unneeded;dispensableness;,indispensability;indispensable;necessary;
disposable,adj.一次性的，可任意處理的；用后就拋棄的；免洗的；可供使用的； n.〈美口〉使用后隨即拋掉的東西（尤指容器等）； ,Don't squander your disposable income on a disposable car.,"僅此一次,給我們的車它們應有的外表.",usable;liquid;available;,nondisposable;useless;gaseous;
dissident,n.持異議者，公開大唱反調者，持不同政見者； adj.持不同意見的（人）； ,Dissident thought is valuable just because it is dissident.,不同的見解的價值就在於它的不同。,heterodox;unorthodox;heretical;,orthodox;granter;religious person;
diverse,adj.不同的，多種多樣的；變化多的；形形色色的； ,"There exist diverse civilizations in the world, just like there are diverse species in the nature.",文明具有多樣性，就如同自然界物種具有多樣性一樣。,different;divers;,same;sameness;unvaried;
documentary,n.紀錄片； adj.記錄的；文書的；紀實的； ,Modern Chinese Literature possesses substantial documentary achievements and has accumulated rich documentary experience.,中國現代文學擁有豐碩的文獻成果，積累了豐富的文獻學實踐經驗。,movie;flick;docudrama;,abstract;unreality;insubstantiality;
drastic,adj.激烈的；猛烈的；（法律等）嚴厲的；極端的； ,It does have value for specific studies in that no drastic pretreatments need to be used.,它對不需要苛刻預處理的專門研究是有價值的。,forceful;,forceless;unassertive;
dreary,adj.沉寂的；陰沉的；令人厭煩的；枯燥的； n.可怕的人物； ,"O the dreary , dreary moorland! O the barren , barren shore!","噢這乏味的高沼地, 噢這貧瘠的海岸!",dull;drab;,lively;lowborn;indulgent;
dual,adj.雙的，兩部分的，二體的，二重的； n.雙數；雙數詞； ,The reason for the discount is the use of dual - class shares.,存在折價率問題的原因是雙重投票權股票(dual -classshares )的使用.,multiple;double;duple;,single;malfunction;straighten;
dubious,adj.半信半疑的，猶豫不決的；可疑的；曖昧的，含糊的；不可靠的； ,The police raided the club and arrested several dubious characters.,警察襲擊俱樂部並且逮捕了幾個可疑人物.,doubtful;unsure;uncertain;,sure;certain;settled;
eccentric,adj.古怪的，異常的；偏離軌道的；離心的； n.古怪的人；[物]偏心輪； ,It uses three eccentric cams as locators and an eccentric cam as clamps.,"該夾具利用三個偏心輪作定位元件,一個偏心輪作夾緊元件.",off-the-wall;outlandish;outre;,conventional;stop;uncover;
edible,adj.可以吃的，可食用的； n.食物； ,"For the enrichment of food structure, edible beet has edible nutrition and medical value.",對豐富食物結構而言食用甜菜具有食用營養和藥用價值。,non-poisonous;nontoxic;parve;,tough;inedible;indigestible;
editorial,adj.編輯的，主筆的；〈美〉社論的； n.社論（美）； ,The Editorial Projects in the Education Research Center prepared the report.,教育研究中心的評論計劃準備了這份報告。,newspaper;agony column;newspaper column;,uncover;natural object;
eligible,adj.合適的；在（法律上或道德上）合格的；有資格當選的；稱心如意的； n.合格者；合適者；稱心如意的人；合乎條件的人（或東西）； ,Eligible run for office; eligible for retirement.,有資格獲得退休金；合格的學士。,worthy;legal;in line;,unqualified;ineligible;contemptible;
elite,n.<法>精華；精銳，精英；上層集團；（統稱）掌權人物； ,In the newspapers the elite simply argued with the elite.,在報紙上，上層人士只是與上層人士爭辯而已。,high society;upper class;aristocracy;,push;ignoble;dishonorableness;
eloquent,adj.雄辯的，有口才的；有說明力的；富於表情的，逼真的；動人的； ,Stevenson was eloquent and elegant ------ but soft.,史蒂文森有口才、有風度，但很軟弱。,articulate;facile;fluent;,inarticulate;devoice;voice;
emphatic,adj.著重的；強調的；顯著的；加強語氣的； ,Make the following sentences more emphatic.,把下列句子的語勢加強.,emphasised;emphasized;accented;,unstressed;feminine;weak;
epidemic,n.流行病；迅速的傳播、生長或發展；風尚等的流行； adj.流行性的；極為盛行的； ,"Leaves: prevents epidemic influenza, epidemic meningitis, influenza, enteritis, eczema of the scrotum.",葉：預防流行性感冒，流行性腦脊髓膜炎，感冒，腸炎；外用治陰囊濕疹。,eruption;irruption;pandemic;,good;antiseptic;inactivity;
equivalent,adj.相等的，相當的，等效的；等價的，等積的；[化學]當量的； n.對等物；[化學]當量； ,He changed his pounds for the equivalent an equivalent amount of dollars.,他把他的英鎊換成等值的美元。,cognition;counterpart;substitute;,different;disagree;differ;
ethical,adj.倫理學的；道德的，倫理的；憑處方出售的； n.憑醫師處方出售的藥品； ,A uniform ethical standard is necessary for ethical conduct technical evaluation.,技術倫理評價的進行需要一個統一的倫理標準.,right;,wrong;unethical;
ethnic,adj.種族的，部落的；某文化群體的； n.少數民族的成員； ,"Ethnic eco-ethics attaches great importance to a balanced development of natural environment, socio-economy and ethnic cultures.",民族生態倫理學強調自然環境、社會經濟與民族文化的整體和諧發展。,cultural;social;ethnical;,unsocial;religious person;creditor;
excessive,adj.過度的，極度的；過分的；過多的；過逾； ,"This excessive focus on the financing market path, so that China's stock market appeared excessive development.","這種過度注重融資的市場路徑, 使中國股市出現了過快的發展.",immoderate;unreasonable;inordinate;,moderate;immoderation;reasonable;
exclusive,adj.專用的；高級的；排外的；單獨的； n.獨家新聞；專有物；獨家經營的產品（或項目、設計等）；排外者； ,License agreements may be either exclusive or non-exclusive.,許可證可以是獨佔許可證的形式，也可以是非獨佔的形式。,sole;unshared;,shared;comparable;accompanied;
exotic,adj.異國的；外來的；異乎尋常的，奇異的；吸引人的； n.舶來品，外來物；脫衣舞女； ,"Exotic Woods, Exotic Flooring, Softwood Elliotis Pine, Exotic Plywood, Decking, Timber, Timber Products and Plank.",採購產品異國的森林，異國的地板，軟木材松樹，異國的夾板，裝飾木材，木材產品和厚木板。,alien;strange;foreign;,native;intrinsic;nativeness;
explicit,adj.明確的，清楚的；直言的；詳述的；不隱瞞的； ,Explicit conversions ( casts ): Explicit conversions require a cast operator.,顯式轉換 ( 強制轉換 ): 顯式轉換需要強制轉換運算符.,open;declared;denotative;,equivocal;connotative;inexplicitness;
exquisite,adj.精緻的；細膩的；優美的；劇烈的； n.過分講究穿戴的人； ,"Exquisite exquisite architectural design high and low around the patchwork, imaginative.",建築設計玲瓏精巧，高低前後錯落有致，匠心獨運。,keen;intense;,mild;temperate;unsaturated;
extracurricular,adj.學校課程以外的；課外； ,"At last, the paper outlines the value orientation of the individual extracurricular reading.",論述個性化課外閱讀的價值取向。,extramarital;adulterous;illicit;,licit;faithful;legal;
fabulous,adj.極好的，極妙的；（美貌）驚人的；寓言般的；難以置信的； ,The Bee is a fabulous car.,蜂車是一種神話般的車。,pleasing;fab;,displeasing;sincere;realistic;
feasible,adj.可行的；可用的；可實行的；可能的； ,The plan was beginning to seem more and more feasible.,這個計劃開始顯得越來越可行了.,possible;viable;workable;,impossible;unrealistic;unthinkable;
finite,adj.有限的；[語]限定的；[數]有窮的，有限的； n.有限性；有限的事物； ,A finite deformation finite element algorithm based on finite deformation theory of symmetrical mode was presented.,文章導出一種基於歐拉描述的有限變形軸對稱有限元計算方法，並用其模擬轉向節的鍛造成形過程。,limited;mortal;exhaustible;,immortal;infinite;wide;
fireproof,vt.使防火，使耐火； ,"Fireproof Mastic is made of asphalt, high polymer resin, mineral filling, mixderight amount of fireproof agent.",阻燃瑪碲脂是採用瀝青、高分子樹脂、礦物填料、加入適量阻燃劑製成。,noncombustible;incombustible;,combustible;demonetization;weaken;
fluid,n.液體，流體； adj.流體的，流動的，流體的，液體的；易變的，不固定的；（動作、設計、音樂等）流暢優美的； ,Hydraulic calculation of-bearing oil flowing in pipe is discussed fluid is Newtonian fluid or non-Newtonian fluid.,討論了含水原油為牛頓流體和非牛頓流體情況下管流的水力計算。,liquid;ichor;filtrate;,rough;coarse;uglify;
formidable,adj.可怕的；令人敬畏的；難以對付的； ,"Warlock is a formidable, but the early game is very annoying, bad practiced.","術士是厲害, 但遊戲初期很煩人, 不好練的.",redoubtable;unnerving;alarming;,unalarming;disreputable;unmoving;
forthcoming,adj.即將到來的；現成的；唾手可得的；樂於助人的； n.來臨；臨近； ,He is a very a forthcoming person and can handle all situations with panache.,"他是一個非常善於交際的人,能夠靈巧地處理各種情況.",available;,unavailable;retrospective;
foster,v.培養；撫育；促進；代養； adj.寄養的；代養的； ,"Coordinate the Foster Care Program. Select foster families, train foster mother, place children in foster homes.",協調孩子寄養計劃。挑選寄養家庭、送孩子到寄養家庭、拜訪寄養家庭。,further;advance;encourage;,disapprove;disagree;take;
